Yorum,Tahmin Sınıfı,Tahmin Etiketi
"Muhteşem. Hatta öyle iyi ki devletimiz keşke destek verse bu film herkes tarafından izlenebilse. İnsanın topragina , bayrağına , milletine, devletine inancını , özgüvenini arttıran bir film. Filmi başından sonuna kadar merakla , dua ile izleyeceksiniz. Gereksiz dialoglar , bakismalar hiçbiri yok. Filmin sonunda ise bir damla gözyaşı ile ayrılabilirsiniz. İyi seyirler.
",0,Olumlu
"Senaryo kötü olsa da çekimler ve oyunculuk iyiydi. Gerçek olaylardan uyarlanıp uyarlanmadığı muamma çünkü açıklanan gelişmelerle filmdeki olaylar uyuşmuyor. Ortalamanın üstünde.
",1,Olumsuz
"Sadece sinema eleştirisi yapabileceğiniz, geçmişten günümüze, hatta henüz vizyona girmeyen sinema sohbetleri yapabileceğiniz, sinema dışındaki konulara kapalı, birçok elit arkadaşa sahip olan 7 yaşında bir sinema whatsapp gurubumuz var. Guruptaki yöneticilerimizin yazılanları çizilenleri pür dikkat takip etmesi, olası bir spoiler veya daha kötü kırıcı küfür içerikli paylaşımların önüne geçmektedir. Huzurla sinema konuşabileceğiniz sinema whatsapp gurubumuza tüm sinema severler davetlidir. +905399118202
",1,Olumsuz
"Film tam bir hayal kırıklığı. Tam sağ gösterip sol vuran cinsten. O coğrafyayı kimin bu hale getirdiğini 7 yaşındaki çocuklar bile ifade edebiliyorken, bir kez dahi ima edilememiş. Belkide korkulmuş. Ama başka bir çok siyasi mesaj subliminal olarak işlenmiş. Benim için zaman kaybı oldu.
",1,Olumsuz
"imkansız sahnelerle dolu bi film olmuş malesef çok abartı sahneler var ya o nasıl oluyo der gibi ben beğenemedim malesef ama vurdu kırdı seviyosanız sizin tercihiniz
",1,Olumsuz
"Ortalama bir film. Bizi etkileyen , biraz da acıtan; gerçek olaylardan uyarlama bir konusu var. Bazı kaçış sahneleri kolay olmuş. Kerem Alışık role hiç uymamış konuşmaları yapamamış. Ben yine de merakla izledim.
",0,Olumlu
"İsmail Hacıoğlu'nun olduğu hiçbir yapımın kötü olmak ihtimali yok zaten... Soluksuz izlediğim bir film oldu, emeği geçen herkese teşekkür ederim
",0,Olumlu
"Son derece sürükleyici, aksiyon sahneleri oldukça başarılı harika bir film olmuş. Oyunculuklar da oldukça bsşarılı. Aksiyon, kurgu ve senaryo anlamında Hollywood filmlerinden çok daha başarılı olmuş.
",0,Olumlu
"😁😁😁 çok komik . Eski Rambo flimleri gibi.. hayalinde yapalimayacak işler.. bu kadar basit mi .. gerçekle alakası yok
",1,Olumsuz
"Çekimler harika. Verilen duygu çok güzel Elinize emeğinize sağlık.film full aksiyon sahneleri ile dolu. Vatan ve millet sevgisi ile doluyor insan.
",0,Olumlu
"İzlerken hem türklük damarınız kabaracak hem de çok duygulanacaksınız. İyi ki gittim dediğim nadir filmlerden kadro ve oyunculuk inanılmaz güzel.asla pişman olmazsınız mutlaka izleyin 5 yıldızı sonuna kadar hakediyor.
",0,Olumlu
"Gerçek hayat hikayesi be çok iyi işlenmiş nu jac yerde hata olsada aksiyon ve gerçek olması izlemeye değer Sunema .👍👍👍👍👍👍
",0,Olumlu
"Film kesinlikle çok güzeldi. izlerken hiç sıkılmadım merak duygusu hep vardı ve oyunculuklar çok iyiydi.
",2,Tarafsız
"Film MİT'in pek başarılı operasyonuna gölge düşüren, adeta hakaretvari, tamamen kız çocuğu ve bayrak duygusalı üzerinden üretilmiş bir film. Ulan Kerem Alışık 'tan başka MİT başkanı mı yok? Adam yeşilçam şivesiyle konuşuyor hala. Oyunculuklar çok amatör kavga sahneleri çok kötü. Sanatın hizmet ettiği amaçlardan hiçbirisini taşımıyor.
",1,Olumsuz
"Çok iyi bir film her türkün izlemesi lazım . Oyuncu kadrosu mükemmel ..............................
",0,Olumlu
"Kerem alışık her zaman olduğu gibi rolünün hakkını verEmemiş, mimik yok ses tonu yok, sadece İsmail Hacıoğlu var diye yine de izlenir diyebilirim ama inkansız sahneler, abartı sahneler var, Malkoçoğlu Polat Alemdar gibi, ama yine de dediğim gibi İsmail var diye yine izlenir
",2,Tarafsız
"Bir istihbarat teşkilatı bu kadar kötü anlatılamaz stratejik hata dolu, gerçek olay ama gerçekçilik algısı içler acısı. Birileri sadece birilerine yakın diye casta alınıp yardımcı erkek oyuncu rolünü alırsa ve bu kişi ne yazık ki oyunculuk yapamıyorsa bir de üzerine senaryoda ve yönetimde boşluklar varsa alın size muhteşem bir gerçek hikayenin berbat edilişi!..
",1,Olumsuz
"Özel harekatı bu kadar pasif gösterip film yapınca vatan haini gibi görünüyorsunuz maalesef. Berbat bir film keşke izlemeseydim. Yaziklar olsun bunu yazana da oynayana da izin verenede izleyip begenenede.
",2,Tarafsız
"Sıkılmadan bir Türk Filmi izleyince sevindim. Rambo vari tek başına dünyaya bedel bir adam görmek fazla abartılı gelse de severek izledim.
",0,Olumlu
"Hayatımda izlediğim en saçma, özensiz ve oyunculukları berbat filmdi..Rahmetli Cüneyt Arkın filmleri bile daha mantikliydi. Aşırı saçma...
",1,Olumsuz
