Metin,Tahmin Sınıfı,Tahmin Etiketi
"Dil, iletişim kurmamızın temel araçlarından biri ve her dilin ayrı hikâyesi var. Dilimiz içerisindeki düşünce ve duygularımızı anlatmayı sağlayan kelimeler de zaman içerisinde farklı kültürlerden, coğrafyalardan ve dönemlerden izler taşıyor. Bu izlerin aslında neler olduğunu öğrenince kullandığınız kelimelere bakış açınız değişecek.
",2,kultur 
"Tığ makinesi yapmak, birçok insan için önceki nesillerde ustalıkla yapılmış el sanatının modern bir versiyonunu oluşturmak gibi romantik bir düşünce gelebilir. Ancak bir adım geri attığınızda, tığ makinesi yapmanın imkânsız olduğunu görebilirsiniz.
",6,teknoloji 
"Akıllı telefon markaları arasında önemli bir yere sahip olan POCO, X6 Pro 5G modelini tanıtmaya hazırlanıyor. Telefonun teknik detayları, FCC sertifikasının gün yüzüne çıkması ile pek çok iddiayı doğruladı.
",6,teknoloji 
"Arçelik’in Koç Grubu’na, Teknosa’nın Sabancı’ya ait olduğunu hepimiz biliyoruz. Ancak holdinglerin bazı markaları, hayatımızın tam içerisinde olsa da hangi gruba ait olduğu herkes tarafından bilinmiyor. Ülkemizin dev holdinglerinin sahip olduğu markaları listelediğimiz içeriğimizde bakalım siz hangilerini biliyorsunuz?
",2,kultur 
"Artık her şirketin elektrikli araçlara geçişini gördüğümüz şu dönemde Lamborghini, en performanslı modelleri için biraz daha bekleyecek.
",6,teknoloji 
"Yazıt ve kültür bilimleriyle uğraşan Yuri Valentinovich Knorozov, aynı zamanda bir dil bilimciydi. Yaşadığı dönem içerisinde çeşitli olumsuz eleştirilerin kurbanı olsa da çalışmalarına son sürat devam etmiş ve Mayalara ait dilin çalışma mekaniğine yönelik bir sır perdesini aralamayı başarmıştı.
",2,kultur 
"Ülkemizde hiçbir zaman futbol kadar ilgi göremese bile yine de herkesin gönlünün bir köşesinde yer etmiş olan basketbol sporu, sinema dünyasında da işlenen hikâyelere sık sık konu olmuştur. En az bir maç kadar keyifle izleyebileceğiniz en iyi basketbol filmlerini listeledik ve kısaca anlattıkları hikâyelerden bahsettik.
",2,kultur 
"FIAT'ın geçtiğimiz dönemde üretimi sonlanan Doblo modeli, tamamen elektrikli hâliyle karşımızda.
",6,teknoloji 
"1983 yılında büyük bir video oyun krizi yaşandı. Atari başta olmak üzere büyük oyun şirketleri de bu krizden nasibini aldı.
",6,teknoloji 
"Günümüzdeki çoğu terimin kökleri aslında artık kullanılmayan ölü dillere dayanıyor. Örneğin, günümüzdeki bilgi ve teknolojiyi çağrıştıran çoğu kelime aslında Eski Yunanca'dan geliyor. Sizler için, artık günümüzde kullanılmayan diller olan 'Ölü diller nelerdir?' sorusunu yanıtlayacağız.
",0,dunya 
"Apple, çıkar çıkmaz kullanıcıların oldukça beğendiği Beeper Mini'yi kapatmış gibi görünüyor. Şirketin ilk uygulaması Beeper Cloud, mesajları Mac sunucusu üzerinden ilettiği için güvensiz sayılmıştı.
",6,teknoloji 
"Bir zamanlar televizyonlar bize bilgi sunmanın heyecanını yaşatıyordu. Kumandayı elinize aldığınızda, bir gizem dünyasına adım atmış gibi hissediyordunuz. İşte bu gizemli dünyanın anahtarıydı Teletext!
",6,teknoloji 
"Biraz geçmişe dönelim; uyandınız, okul yok, koşarak salona gidip televizyonu açtınız ve karşınıza en sevdiğiniz çizgi film çıktı. Daha güzel ne olabilir? Bir dönem hepimizin ekran karşısında saatlerce keyif alarak izlediği ve bugün bile hâlâ ara sıra açıp izlemeye bayıldığı çizgi film karakterlerini gelin yeniden hatırlayalım.
",2,kultur 
"Her birimiz şehir dışına çıkacaksak yanımızda ona göre eşya götürmek için ya da önemli bir işimiz varsa beklenmedik şekilde sırılsıklam olmamak adına evden çıkmadan önce mutlaka hava durumunu kontrol ederiz. Ancak kontrol ettiğimiz bu hava durumunun, bazı zamanlar yanlış gösterdiğini hiç fark ettiniz mi?
",0,dunya 
"ABD hükûmeti yer yer bazı olayları kendi halkından ve dünyadan saklamasıyla geçmişte pek çok kez gündeme gelmişti. Özellikle adını sıkça duyduğumuz 51. Bölge, pek çok kişinin ilgisini çekse de şimdi onun yerini herkesten gizledikleri tavuk çiftlikleri aldı.
",2,kultur 
"Hepimiz bazen uyku alışkanlıklarımız ya da uyku partnerimiz yüzünden zor geceler geçirebiliriz. Uykuda konuşmak, uykuda yürümek gibi uyurgezerlik türleri de uyku bozuklukları arasında yaygın olarak biliniyor. Peki ya uykuda seks yapmaya ne dersiniz? Gerçekten uyku hâli devam ederken seks yapmak mümkün mü?
",3,saglik 
"Netflix'in en sevilen dizilerinden biri olan Stranger Things, beşinci sezon için ocak ayında çekimlere başlayacak. Bölümlerinin çekimlerine başlanacak olan sezon, aynı zamanda final sezonu olacak.
",5,spor 
